Line#,Time,OE,LAT,CLK,SELECT,B2,G2,R2,B1,G1,R1
534,12770,0,0,0,02,0,0,0,0,0,0
535,12800,0,0,1,02,0,0,0,0,0,0
536,12850,0,0,0,02,0,0,0,0,0,0
537,12880,0,0,1,02,0,0,0,0,0,0
538,12930,0,0,0,02,0,0,0,0,0,0
539,12960,0,0,1,02,0,0,0,0,0,0
540,13010,0,0,0,02,0,0,0,0,0,0
541,13040,0,0,1,02,0,0,0,0,0,0
542,13090,0,0,0,02,0,0,0,0,0,0
543,13120,0,0,1,02,0,0,0,0,0,0
544,13170,0,0,0,02,0,0,0,0,0,0
545,13180,0,0,0,02,1,0,0,1,0,0
